               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.043928,           0.0097022,                   0,             0.69607,                0.65,             0.63507,             0.21184,            0.055479,            0.010008,                   0,           0.0080488,           0.0080488,           0.0080488
                  39,            0.041522,           0.0097504,                   0,             0.69181,                 0.6,             0.62659,             0.22089,             0.05098,            0.010103,                   0,           0.0079509,           0.0079509,           0.0079509
                  40,            0.041997,           0.0098694,                   0,             0.57473,             0.56667,             0.55682,             0.19578,            0.050873,           0.0098846,                   0,           0.0078512,           0.0078512,           0.0078512
                  41,            0.041292,           0.0092956,                   0,             0.63138,              0.5995,             0.62413,             0.20677,             0.05011,            0.010522,                   0,             0.00775,             0.00775,             0.00775
                  42,            0.042159,           0.0094163,                   0,             0.54491,             0.49892,             0.48165,             0.15999,            0.052013,            0.010811,                   0,           0.0076472,           0.0076472,           0.0076472
                  43,            0.040607,           0.0096094,                   0,             0.47718,             0.71667,             0.60959,             0.20777,            0.045239,            0.010533,                   0,            0.007543,            0.007543,            0.007543
                  44,            0.039905,           0.0096823,                   0,             0.74392,             0.53333,             0.66834,             0.23089,            0.044494,           0.0099075,                   0,           0.0074373,           0.0074373,           0.0074373
                  45,            0.040317,           0.0091407,                   0,             0.57513,             0.63333,             0.55868,             0.20597,            0.049568,            0.010345,                   0,           0.0073303,           0.0073303,           0.0073303
                  46,            0.038966,           0.0095971,                   0,             0.72389,                 0.7,             0.69381,             0.22844,             0.04648,            0.010076,                   0,           0.0072221,           0.0072221,           0.0072221
                  47,            0.037637,           0.0090178,                   0,             0.82921,             0.56642,             0.65573,             0.24666,            0.051224,           0.0099277,                   0,           0.0071127,           0.0071127,           0.0071127
                  48,            0.038485,           0.0093779,                   0,             0.76897,             0.49929,             0.60357,             0.20039,            0.054876,            0.010339,                   0,           0.0070021,           0.0070021,           0.0070021
                  49,            0.038514,           0.0091218,                   0,             0.71133,             0.61667,             0.64238,             0.22049,             0.05154,            0.010248,                   0,           0.0068906,           0.0068906,           0.0068906
                  50,            0.038943,           0.0090669,                   0,              0.7537,             0.71667,             0.70993,             0.23068,             0.04385,            0.010182,                   0,           0.0067781,           0.0067781,           0.0067781
                  51,            0.038135,           0.0093247,                   0,             0.70275,             0.63333,             0.64174,               0.257,            0.044393,            0.010203,                   0,           0.0066647,           0.0066647,           0.0066647
                  52,            0.037483,           0.0093569,                   0,             0.65983,             0.54958,              0.6305,             0.19717,            0.047258,           0.0098237,                   0,           0.0065505,           0.0065505,           0.0065505
                  53,             0.03758,           0.0093932,                   0,             0.53817,                 0.7,             0.61006,             0.22769,            0.051597,            0.010352,                   0,           0.0064356,           0.0064356,           0.0064356
                  54,            0.035697,           0.0089037,                   0,             0.67689,             0.56667,             0.63624,              0.2191,            0.048197,           0.0099756,                   0,           0.0063201,           0.0063201,           0.0063201
                  55,            0.037868,           0.0086538,                   0,              0.7913,             0.63195,             0.65246,             0.24275,            0.051286,            0.010176,                   0,            0.006204,            0.006204,            0.006204
                  56,            0.037288,           0.0090658,                   0,             0.60211,             0.73333,             0.65459,             0.22967,            0.049216,            0.010375,                   0,           0.0060874,           0.0060874,           0.0060874
                  57,            0.036698,           0.0087854,                   0,             0.64777,             0.58239,             0.55057,             0.21282,            0.046716,            0.011165,                   0,           0.0059704,           0.0059704,           0.0059704
                  58,            0.036461,           0.0089109,                   0,              0.6376,             0.73309,             0.69067,             0.22067,            0.045184,            0.010306,                   0,           0.0058531,           0.0058531,           0.0058531
                  59,              0.0367,           0.0087306,                   0,             0.62181,             0.63333,             0.61605,             0.24342,            0.047283,             0.01071,                   0,           0.0057355,           0.0057355,           0.0057355
                  60,            0.036394,           0.0086831,                   0,             0.73466,              0.5999,              0.6296,             0.24275,            0.049485,            0.010405,                   0,           0.0056178,           0.0056178,           0.0056178
