               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10774,            0.021108,                   0,            0.032682,            0.066667,           0.0099961,           0.0015648,            0.093664,            0.014477,                   0,             0.00051,             0.00051,             0.09541
                   1,            0.086207,             0.01489,                   0,            0.044568,             0.28333,            0.025616,            0.004252,            0.073148,            0.013714,                   0,           0.0010298,           0.0010298,             0.09073
                   2,            0.072246,            0.014638,                   0,             0.15699,                 0.3,            0.088235,            0.018463,            0.066038,            0.013567,                   0,            0.001549,            0.001549,            0.086049
                   3,             0.06329,            0.015755,                   0,             0.37392,                0.15,             0.14207,            0.030051,             0.06205,            0.012765,                   0,           0.0020671,           0.0020671,            0.081367
                   4,            0.060631,            0.013682,                   0,             0.38108,             0.34893,             0.29781,            0.079101,            0.062388,            0.011899,                   0,           0.0025836,           0.0025836,            0.076684
                   5,             0.05703,            0.012931,                   0,              0.4825,             0.38333,             0.35342,             0.10163,            0.056671,            0.011943,                   0,            0.003098,            0.003098,            0.071998
                   6,            0.056083,            0.012977,                   0,             0.45937,             0.38333,             0.34173,             0.11431,            0.056349,            0.011091,                   0,           0.0036099,           0.0036099,             0.06731
                   7,            0.052588,            0.012422,                   0,             0.52835,                0.45,             0.44269,             0.14591,            0.051216,            0.010966,                   0,           0.0041187,           0.0041187,            0.062619
                   8,            0.051187,            0.010993,                   0,             0.39507,             0.59868,             0.45266,              0.1468,            0.058942,            0.011346,                   0,           0.0046241,           0.0046241,            0.057924
                   9,            0.052365,            0.011759,                   0,             0.57674,             0.68133,             0.61237,             0.14836,            0.053297,            0.010689,                   0,           0.0051255,           0.0051255,            0.053225
                  10,            0.050448,            0.010971,                   0,             0.39749,                0.55,             0.38167,             0.12358,            0.049127,            0.011276,                   0,           0.0056224,           0.0056224,            0.048522
                  11,            0.050402,            0.011084,                   0,             0.49945,             0.53333,              0.4453,             0.14647,            0.047689,            0.011043,                   0,           0.0061146,           0.0061146,            0.043815
                  12,            0.049812,            0.010675,                   0,             0.44299,             0.58322,             0.46276,              0.1566,            0.049555,            0.010348,                   0,           0.0066013,           0.0066013,            0.039101
                  13,            0.052007,            0.010826,                   0,             0.58397,             0.63333,             0.58862,             0.18787,            0.046558,            0.010349,                   0,           0.0070824,           0.0070824,            0.034382
                  14,            0.050342,            0.010571,                   0,             0.44442,             0.59994,             0.44319,             0.13209,            0.060277,            0.010333,                   0,           0.0075572,           0.0075572,            0.029657
                  15,            0.050161,            0.010899,                   0,              0.4997,             0.48275,             0.40449,             0.15846,            0.054983,            0.010552,                   0,           0.0080253,           0.0080253,            0.024925
                  16,            0.049395,             0.01075,                   0,             0.58453,                 0.4,               0.436,             0.11891,            0.054836,            0.010895,                   0,           0.0084865,           0.0084865,            0.020186
                  17,            0.049166,            0.010593,                   0,             0.40514,             0.46541,              0.3817,             0.12902,            0.058916,            0.010887,                   0,           0.0089401,           0.0089401,             0.01544
                  18,             0.05043,            0.010535,                   0,             0.46829,             0.24955,             0.24413,            0.064324,            0.058325,            0.010529,                   0,           0.0093859,           0.0093859,            0.010686
                  19,            0.050719,            0.010549,                   0,             0.47688,             0.58333,             0.49576,             0.17147,             0.05857,            0.010664,                   0,           0.0094547,           0.0094547,           0.0094547
                  20,            0.049908,            0.010838,                   0,             0.47361,             0.33333,             0.26555,            0.083475,            0.069394,             0.01042,                   0,           0.0094547,           0.0094547,           0.0094547
                  21,            0.049578,             0.01102,                   0,             0.35471,             0.44893,             0.26871,            0.074033,            0.058048,            0.011336,                   0,           0.0093971,           0.0093971,           0.0093971
                  22,            0.048684,            0.010579,                   0,             0.34067,                0.45,             0.33379,             0.11289,            0.060126,            0.010017,                   0,           0.0093369,           0.0093369,           0.0093369
                  23,             0.04948,            0.010591,                   0,             0.45024,             0.61667,             0.52224,             0.15231,            0.050255,            0.010283,                   0,            0.009274,            0.009274,            0.009274
