               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10697,            0.021181,                   0,            0.011226,                0.05,           0.0044668,          0.00092917,            0.086656,             0.01494,                   0,             0.00051,             0.00051,             0.09541
                   1,            0.085986,             0.01492,                   0,            0.066476,                 0.1,            0.023179,           0.0036102,            0.078135,            0.013764,                   0,           0.0010298,           0.0010298,             0.09073
                   2,            0.071992,            0.014546,                   0,            0.067891,             0.33333,            0.040254,           0.0077145,            0.064922,            0.013934,                   0,            0.001549,            0.001549,            0.086049
                   3,            0.063853,            0.015614,                   0,             0.28272,             0.26667,             0.18391,            0.038128,            0.057937,            0.013167,                   0,           0.0020671,           0.0020671,            0.081367
                   4,            0.060917,            0.013579,                   0,             0.24506,             0.38333,             0.16226,             0.03628,            0.056199,            0.012655,                   0,           0.0025836,           0.0025836,            0.076684
                   5,            0.059207,            0.012831,                   0,             0.36478,             0.56471,             0.36725,            0.086439,            0.057973,            0.011924,                   0,            0.003098,            0.003098,            0.071998
                   6,             0.05593,            0.012941,                   0,             0.40216,             0.48333,             0.39623,             0.11764,            0.062853,            0.011033,                   0,           0.0036099,           0.0036099,             0.06731
                   7,            0.052417,            0.012339,                   0,             0.31225,             0.41667,             0.33604,            0.097713,            0.059325,             0.01117,                   0,           0.0041187,           0.0041187,            0.062619
                   8,            0.051307,            0.011054,                   0,             0.43755,             0.48333,             0.44643,             0.11753,            0.063747,            0.010836,                   0,           0.0046241,           0.0046241,            0.057924
                   9,             0.05132,            0.011652,                   0,             0.63098,             0.59847,             0.57582,              0.1986,            0.053172,            0.010477,                   0,           0.0051255,           0.0051255,            0.053225
                  10,            0.049554,              0.0109,                   0,             0.46788,             0.49828,             0.45335,              0.1501,             0.05252,            0.010795,                   0,           0.0056224,           0.0056224,            0.048522
                  11,            0.050324,            0.011165,                   0,             0.63346,                0.55,             0.51285,             0.17361,            0.051012,            0.010626,                   0,           0.0061146,           0.0061146,            0.043815
                  12,            0.049608,            0.010654,                   0,             0.36316,             0.53224,             0.35044,            0.087007,            0.064419,            0.010281,                   0,           0.0066013,           0.0066013,            0.039101
                  13,            0.052296,            0.010857,                   0,             0.53337,             0.61667,             0.53122,             0.17355,            0.046981,            0.011006,                   0,           0.0070824,           0.0070824,            0.034382
                  14,            0.049708,            0.010712,                   0,             0.50481,             0.50977,             0.45899,             0.13131,            0.053599,            0.010609,                   0,           0.0075572,           0.0075572,            0.029657
                  15,            0.050373,            0.010925,                   0,              0.5281,             0.46667,             0.42788,             0.13098,            0.051416,            0.010989,                   0,           0.0080253,           0.0080253,            0.024925
                  16,            0.049304,            0.010606,                   0,             0.46877,             0.63333,             0.47138,             0.15173,            0.051818,            0.010972,                   0,           0.0084865,           0.0084865,            0.020186
                  17,            0.048314,             0.01039,                   0,             0.33767,                 0.4,             0.30325,            0.099977,            0.058676,            0.010939,                   0,           0.0089401,           0.0089401,             0.01544
                  18,             0.05158,            0.010587,                   0,              0.4508,                 0.4,             0.33821,            0.084169,            0.061448,            0.010582,                   0,           0.0093859,           0.0093859,            0.010686
                  19,            0.050817,            0.010752,                   0,             0.55516,             0.41601,             0.43954,             0.15108,            0.058628,            0.010125,                   0,           0.0094547,           0.0094547,           0.0094547
                  20,            0.049779,            0.010825,                   0,             0.29841,             0.38333,             0.25647,            0.071706,            0.059183,            0.010851,                   0,           0.0094547,           0.0094547,           0.0094547
                  21,            0.049311,            0.010959,                   0,             0.38423,             0.49921,             0.41847,             0.14981,            0.047706,            0.011272,                   0,           0.0093971,           0.0093971,           0.0093971
                  22,            0.048175,            0.010427,                   0,             0.38193,             0.56667,             0.43468,             0.14243,            0.051552,             0.01086,                   0,           0.0093369,           0.0093369,           0.0093369
                  23,            0.049335,            0.010445,                   0,             0.43903,             0.48333,             0.37988,             0.14056,            0.056957,            0.010274,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.048052,            0.009789,                   0,             0.55477,             0.41667,             0.43271,             0.11654,            0.055215,            0.010383,                   0,           0.0092086,           0.0092086,           0.0092086
                  25,            0.046465,            0.010326,                   0,             0.38722,             0.51667,              0.3458,            0.090384,            0.052252,            0.010429,                   0,           0.0091406,           0.0091406,           0.0091406
                  26,            0.045815,            0.010068,                   0,             0.47678,                 0.6,             0.50858,             0.16359,            0.046068,            0.010454,                   0,           0.0090701,           0.0090701,           0.0090701
                  27,            0.045227,            0.010726,                   0,             0.59389,             0.56667,             0.56933,             0.15782,            0.049591,            0.010191,                   0,           0.0089972,           0.0089972,           0.0089972
                  28,            0.043501,            0.010257,                   0,             0.65961,             0.54907,             0.56209,             0.18152,            0.052802,            0.010563,                   0,           0.0089218,           0.0089218,           0.0089218
                  29,            0.044433,            0.010403,                   0,             0.46757,             0.62939,             0.52825,             0.17158,            0.049505,            0.010088,                   0,           0.0088442,           0.0088442,           0.0088442
                  30,            0.044461,           0.0099007,                   0,             0.66485,             0.66667,             0.66408,             0.22664,            0.042032,            0.010419,                   0,           0.0087642,           0.0087642,           0.0087642
                  31,            0.043776,           0.0096536,                   0,             0.67851,             0.63333,             0.61875,             0.19214,            0.053116,            0.010131,                   0,            0.008682,            0.008682,            0.008682
                  32,            0.044167,            0.010066,                   0,              0.7258,             0.58333,             0.66177,             0.22056,             0.04599,           0.0096988,                   0,           0.0085976,           0.0085976,           0.0085976
                  33,            0.043423,           0.0098288,                   0,             0.69934,                0.55,             0.61883,             0.21273,            0.046283,           0.0099504,                   0,           0.0085111,           0.0085111,           0.0085111
                  34,            0.041478,            0.010332,                   0,             0.53038,             0.56667,             0.53339,             0.17398,            0.048611,           0.0099293,                   0,           0.0084225,           0.0084225,           0.0084225
                  35,            0.041998,           0.0098616,                   0,             0.51711,             0.58333,             0.51738,              0.1603,            0.050739,            0.010843,                   0,           0.0083319,           0.0083319,           0.0083319
                  36,            0.042294,           0.0099895,                   0,             0.57796,                0.55,              0.4731,             0.17885,            0.052119,            0.012616,                   0,           0.0082394,           0.0082394,           0.0082394
                  37,            0.041825,           0.0091156,                   0,             0.62687,             0.61667,             0.61386,             0.20681,            0.049286,            0.010249,                   0,            0.008145,            0.008145,            0.008145
                  38,            0.043969,            0.009603,                   0,             0.72909,             0.68333,             0.68968,             0.24297,            0.054894,           0.0097429,                   0,           0.0080488,           0.0080488,           0.0080488
                  39,            0.040946,           0.0097849,                   0,             0.61787,                 0.6,              0.5649,             0.19906,            0.053302,            0.010437,                   0,           0.0079509,           0.0079509,           0.0079509
                  40,            0.042613,           0.0098655,                   0,             0.55131,             0.53333,             0.48302,              0.1846,            0.052721,            0.010454,                   0,           0.0078512,           0.0078512,           0.0078512
                  41,            0.041494,           0.0093574,                   0,              0.5207,             0.68333,             0.54549,             0.18065,            0.048768,            0.010168,                   0,             0.00775,             0.00775,             0.00775
                  42,            0.041958,           0.0093181,                   0,             0.56225,                 0.6,             0.53425,             0.15673,            0.048338,            0.011204,                   0,           0.0076472,           0.0076472,           0.0076472
                  43,            0.040447,           0.0097035,                   0,             0.69567,             0.61667,             0.59201,             0.20261,            0.047464,             0.01061,                   0,            0.007543,            0.007543,            0.007543
                  44,            0.040003,           0.0096033,                   0,             0.71664,             0.63333,             0.64749,             0.21331,              0.0475,            0.010276,                   0,           0.0074373,           0.0074373,           0.0074373
                  45,            0.040996,           0.0092589,                   0,             0.64801,             0.61667,             0.60735,             0.17215,            0.054267,            0.010973,                   0,           0.0073303,           0.0073303,           0.0073303
                  46,            0.039587,           0.0095501,                   0,             0.60547,             0.66504,             0.64276,             0.21824,            0.052752,            0.010055,                   0,           0.0072221,           0.0072221,           0.0072221
                  47,            0.037909,           0.0090452,                   0,             0.68326,             0.61667,             0.60652,             0.22413,            0.049071,            0.010142,                   0,           0.0071127,           0.0071127,           0.0071127
                  48,            0.038757,           0.0095083,                   0,             0.60483,             0.61667,             0.59252,             0.22673,            0.053155,           0.0096276,                   0,           0.0070021,           0.0070021,           0.0070021
                  49,            0.038645,           0.0090642,                   0,             0.61505,             0.66574,             0.62548,             0.20127,            0.053798,           0.0097595,                   0,           0.0068906,           0.0068906,           0.0068906
                  50,             0.03949,           0.0092588,                   0,             0.60598,             0.66667,             0.54559,                0.17,            0.052469,             0.01015,                   0,           0.0067781,           0.0067781,           0.0067781
                  51,            0.039563,           0.0094845,                   0,             0.57672,             0.61667,              0.5477,             0.19019,            0.052908,            0.010314,                   0,           0.0066647,           0.0066647,           0.0066647
                  52,            0.038494,           0.0094309,                   0,             0.65503,             0.63294,             0.60488,             0.20145,            0.052719,           0.0098852,                   0,           0.0065505,           0.0065505,           0.0065505
                  53,            0.037137,           0.0095195,                   0,             0.72546,             0.61658,               0.612,             0.24331,            0.051113,           0.0093688,                   0,           0.0064356,           0.0064356,           0.0064356
                  54,            0.036306,           0.0088943,                   0,             0.59419,             0.68328,              0.6332,             0.20766,            0.053468,           0.0097236,                   0,           0.0063201,           0.0063201,           0.0063201
                  55,            0.038471,           0.0087409,                   0,             0.69617,                0.65,             0.64863,             0.22397,            0.050612,           0.0093987,                   0,            0.006204,            0.006204,            0.006204
                  56,            0.038108,           0.0092708,                   0,             0.67173,             0.71667,             0.67408,             0.21343,            0.047192,           0.0098119,                   0,           0.0060874,           0.0060874,           0.0060874
                  57,            0.037686,           0.0089325,                   0,             0.64074,             0.71343,             0.65172,             0.22613,             0.04527,            0.010529,                   0,           0.0059704,           0.0059704,           0.0059704
                  58,            0.036647,           0.0087531,                   0,             0.67686,                 0.7,             0.71824,             0.29224,            0.045367,           0.0097878,                   0,           0.0058531,           0.0058531,           0.0058531
                  59,            0.036758,           0.0086379,                   0,             0.65606,             0.73333,             0.68233,             0.26447,            0.047597,            0.010053,                   0,           0.0057355,           0.0057355,           0.0057355
                  60,            0.035684,           0.0085499,                   0,             0.68505,             0.61628,             0.62453,             0.24689,            0.048405,            0.010017,                   0,           0.0056178,           0.0056178,           0.0056178
                  61,            0.035858,           0.0087037,                   0,              0.7497,             0.54915,             0.64438,             0.23275,            0.050586,           0.0096679,                   0,              0.0055,              0.0055,              0.0055
                  62,            0.035387,           0.0084942,                   0,             0.72109,             0.73255,             0.70521,             0.27389,            0.048634,           0.0094207,                   0,           0.0053822,           0.0053822,           0.0053822
                  63,            0.034581,           0.0084483,                   0,             0.71687,             0.63333,             0.66319,             0.25131,            0.044059,            0.010834,                   0,           0.0052645,           0.0052645,           0.0052645
                  64,            0.035216,           0.0087243,                   0,             0.66096,             0.68333,             0.65459,             0.24552,            0.048343,           0.0097033,                   0,           0.0051469,           0.0051469,           0.0051469
                  65,            0.035025,           0.0083429,                   0,             0.70681,             0.68307,             0.69189,              0.2692,            0.047728,           0.0097857,                   0,           0.0050296,           0.0050296,           0.0050296
                  66,            0.034487,           0.0084675,                   0,              0.6461,             0.69985,             0.61079,              0.2473,            0.048076,            0.010556,                   0,           0.0049126,           0.0049126,           0.0049126
                  67,            0.034678,           0.0084591,                   0,             0.84607,             0.73333,             0.73633,             0.26746,             0.04884,           0.0098322,                   0,            0.004796,            0.004796,            0.004796
                  68,            0.033595,           0.0084181,                   0,             0.73682,                 0.7,             0.71845,              0.2707,            0.046096,            0.010282,                   0,           0.0046799,           0.0046799,           0.0046799
                  69,             0.03489,           0.0081788,                   0,             0.73431,                 0.6,             0.67532,             0.24498,            0.050645,             0.01041,                   0,           0.0045644,           0.0045644,           0.0045644
                  70,            0.033842,           0.0082649,                   0,             0.68167,             0.74949,             0.65433,             0.24129,            0.045334,            0.010105,                   0,           0.0044495,           0.0044495,           0.0044495
                  71,            0.034921,            0.007985,                   0,             0.74976,             0.64917,             0.65559,             0.23377,            0.049975,           0.0099908,                   0,           0.0043353,           0.0043353,           0.0043353
                  72,            0.034061,           0.0082085,                   0,             0.61532,             0.66649,             0.61324,             0.24338,            0.051125,            0.010448,                   0,           0.0042219,           0.0042219,           0.0042219
                  73,            0.033923,            0.008725,                   0,              0.7138,             0.66667,             0.71082,             0.26687,            0.042744,            0.010646,                   0,           0.0041094,           0.0041094,           0.0041094
                  74,            0.032639,           0.0082691,                   0,             0.82897,                0.65,             0.71406,             0.28507,            0.047769,            0.010286,                   0,           0.0039979,           0.0039979,           0.0039979
