               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.043833,           0.0097513,                   0,             0.54637,             0.78288,             0.59114,              0.2188,             0.04884,            0.010352,                   0,           0.0080488,           0.0080488,           0.0080488
                  39,             0.04216,           0.0098958,                   0,             0.71322,             0.58333,             0.59846,             0.20718,             0.05303,            0.010209,                   0,           0.0079509,           0.0079509,           0.0079509
                  40,            0.041723,           0.0099942,                   0,             0.54322,             0.41667,             0.43044,             0.12581,             0.05717,            0.011003,                   0,           0.0078512,           0.0078512,           0.0078512
                  41,            0.041541,           0.0094526,                   0,             0.70634,                0.65,             0.62515,             0.22423,            0.049152,            0.010264,                   0,             0.00775,             0.00775,             0.00775
                  42,            0.041813,           0.0093617,                   0,             0.61266,             0.63269,             0.61076,             0.16326,            0.051713,             0.01077,                   0,           0.0076472,           0.0076472,           0.0076472
                  43,            0.040612,           0.0097335,                   0,             0.52615,                0.65,               0.541,             0.18348,            0.048477,            0.010551,                   0,            0.007543,            0.007543,            0.007543
                  44,            0.040774,           0.0096868,                   0,             0.52901,                 0.6,             0.55796,             0.17354,            0.049947,            0.010759,                   0,           0.0074373,           0.0074373,           0.0074373
                  45,            0.040256,           0.0092815,                   0,             0.46655,                 0.7,             0.54451,             0.19309,            0.048832,            0.011047,                   0,           0.0073303,           0.0073303,           0.0073303
                  46,            0.039636,           0.0096331,                   0,             0.78562,             0.54971,             0.66296,             0.22726,            0.049636,            0.010909,                   0,           0.0072221,           0.0072221,           0.0072221
                  47,            0.038915,           0.0090075,                   0,             0.70164,              0.6663,             0.67506,             0.23592,            0.048194,            0.010598,                   0,           0.0071127,           0.0071127,           0.0071127
                  48,            0.039085,           0.0095344,                   0,             0.63614,             0.58277,             0.56728,             0.21953,             0.04876,            0.010571,                   0,           0.0070021,           0.0070021,           0.0070021
                  49,            0.039019,            0.009196,                   0,             0.73789,             0.66667,             0.68988,             0.23484,            0.047938,            0.010001,                   0,           0.0068906,           0.0068906,           0.0068906
                  50,            0.039001,           0.0092047,                   0,             0.61526,             0.53305,             0.51702,             0.17344,            0.046099,            0.011017,                   0,           0.0067781,           0.0067781,           0.0067781
                  51,            0.038914,           0.0094566,                   0,             0.53891,             0.68333,             0.59237,             0.21887,            0.049333,            0.010145,                   0,           0.0066647,           0.0066647,           0.0066647
                  52,            0.038543,           0.0092152,                   0,             0.67985,             0.56667,             0.59708,             0.19915,            0.046768,            0.010221,                   0,           0.0065505,           0.0065505,           0.0065505
                  53,             0.03712,           0.0093573,                   0,             0.62653,             0.61667,             0.60049,             0.19664,            0.047493,            0.010302,                   0,           0.0064356,           0.0064356,           0.0064356
                  54,            0.036058,            0.008805,                   0,             0.61613,             0.71667,             0.64725,             0.21919,            0.048915,            0.010115,                   0,           0.0063201,           0.0063201,           0.0063201
