               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10729,            0.021193,                   0,            0.011719,            0.083333,           0.0047743,          0.00084185,              0.0912,            0.014518,                   0,             0.00051,             0.00051,             0.09541
                   1,            0.086217,            0.014926,                   0,            0.064093,             0.11667,            0.023807,           0.0040845,            0.078074,            0.013797,                   0,           0.0010298,           0.0010298,             0.09073
                   2,            0.071903,            0.014617,                   0,             0.10058,                 0.3,            0.061483,             0.01452,            0.066329,            0.013399,                   0,            0.001549,            0.001549,            0.086049
                   3,            0.063588,            0.015607,                   0,             0.13237,                 0.3,             0.12143,            0.035567,            0.067943,            0.013341,                   0,           0.0020671,           0.0020671,            0.081367
                   4,            0.060546,            0.013507,                   0,             0.32252,             0.23333,             0.18633,            0.061647,            0.068742,            0.011454,                   0,           0.0025836,           0.0025836,            0.076684
                   5,            0.057721,            0.012797,                   0,              0.5322,             0.38333,             0.37748,             0.10738,            0.056839,             0.01212,                   0,            0.003098,            0.003098,            0.071998
                   6,            0.056453,            0.012922,                   0,             0.49585,             0.38333,             0.37454,             0.12212,            0.060384,            0.011771,                   0,           0.0036099,           0.0036099,             0.06731
                   7,            0.052642,            0.012451,                   0,             0.31633,             0.36667,             0.29961,             0.09813,            0.057558,            0.011101,                   0,           0.0041187,           0.0041187,            0.062619
                   8,            0.051667,             0.01089,                   0,             0.51459,             0.56667,             0.49539,             0.15217,            0.065672,            0.011226,                   0,           0.0046241,           0.0046241,            0.057924
                   9,            0.051581,            0.011639,                   0,               0.686,                0.45,             0.51731,              0.1688,            0.047138,            0.010856,                   0,           0.0051255,           0.0051255,            0.053225
                  10,             0.05042,            0.011053,                   0,             0.36227,             0.61667,             0.44685,             0.13239,            0.048921,            0.010795,                   0,           0.0056224,           0.0056224,            0.048522
                  11,            0.049632,            0.011121,                   0,             0.51293,                0.65,             0.50074,             0.15486,            0.052799,              0.0105,                   0,           0.0061146,           0.0061146,            0.043815
                  12,            0.049414,            0.010717,                   0,             0.41009,             0.64883,             0.41873,             0.12054,            0.058079,            0.010732,                   0,           0.0066013,           0.0066013,            0.039101
                  13,            0.053057,            0.010943,                   0,             0.40966,             0.51667,             0.44831,             0.13842,            0.047765,            0.010953,                   0,           0.0070824,           0.0070824,            0.034382
                  14,            0.051254,            0.010746,                   0,             0.33449,                0.65,             0.41716,             0.11618,            0.055662,            0.010434,                   0,           0.0075572,           0.0075572,            0.029657
                  15,            0.050681,            0.011033,                   0,             0.37992,             0.47998,             0.34964,            0.099015,            0.052905,            0.010938,                   0,           0.0080253,           0.0080253,            0.024925
                  16,            0.049119,            0.010729,                   0,             0.34162,             0.64862,             0.35535,             0.10371,            0.053028,            0.010851,                   0,           0.0084865,           0.0084865,            0.020186
